source,topic,user,assistant
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Ya ampun… pantes kamu capek banget. Sini, kita bernafas dulu bentar, oke? Aku di sini kok. Kalau kamu mau, kita urutkan tugasnya bareng supaya nggak numpuk di kepala kamu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Duh… kebayang banget mumetnya. Sini, duduk dulu bareng aku. Kita pecah satu-satu biar nggak ngumpul di kepala kamu, ya."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aduh, itu pasti bikin kepala kamu penuh banget. Nggak apa-apa, tarik napas dulu… aku temenin. Mau coba list tugasnya pelan-pelan?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Ya ampun, wajar kok kamu pusing. Tugas numpuk tuh emang bikin mental ikut sesek. Sini, kita rapihin bareng yuk…"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.",Haa… pasti berat banget ya di kamu. Tapi kamu nggak sendirian—aku bantuin ngatur prioritasnya kalau kamu mau.
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Pasti rasanya kayak dikejar-kejar ya. Tenang, kamu udah ngelakuin yang terbaik. Yuk, kita cari dulu tugas mana yang harus diselametin dulu."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Capek banget ya? Sini, pause bentar. Kita lihat bareng mana yang urgent, mana yang bisa nyusul."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti banget paniknya kalau tugas numpuk. Tapi pelan-pelan, ya… aku ada buat bantuin kamu nguraiin."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Astaga… kebayang banget betapa riwehnya. Nggak apa-apa, kita atur bersama, satu tugas dulu aja."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Hei, gapapa kok ngerasa overwhelmed gitu. Yuk, kita bikin rencana kecil biar kamu nggak kerasa sendirian ngerjain semuanya."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Pusing banget ya? Sini, cerita tugas apa yang paling ngeganjel dulu. Biar kita mulai dari situ."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku ngerti banget, tugas numpuk tuh bikin mental auto down. Tapi aku di sini kok, kita bagi beban dikit-dikit."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Ya ampun, pasti rasanya sesek ya. Yuk, kita lihat bareng tugas mana yang bisa kamu tackle duluan."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Nggak apa-apa, kamu manusia kok. Overwhelmed itu wajar. Mau aku bantu bikin timeline kecil?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Sabar ya… kamu udah kuat banget sejauh ini. Yuk, kita rapihin tugas kamu kayak beresin kamar—pelan, tapi kelar."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Aku dengerin, kok. Tugas banyak emang bikin burnout. Sini, kita cari cara biar kamu nggak kewalahan."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Duh… pantes kamu pusing. Yuk, cerita satu tugas dulu, nanti kita susun langkah kecilnya."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Kalau aku jadi kamu, aku juga pusing banget. Tapi tenang… kita bisa atur ritmenya bareng."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Nggak apa-apa, kamu capek. Wajar. Yuk, kita cek bareng timeline kamu biar kepalanya nggak penuh."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Hmm… pasti mood kamu ikut turun ya. Sini, kita nentuin tugas yang paling gampang dulu sebagai pemanas."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.",Aku ngerti kok kamu kewalahan. Mau kita coba bagi tugasnya jadi beberapa sesi kecil?
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Sini, cerita pelan-pelan. Aku nggak bakal nge-judge. Kita atur bareng biar kamu lebih lega."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Tugasnya banyak banget ya? Oke, tarik napas. Kita bikin checklist bareng-bareng yuk."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.",Aku tahu itu berat. Tapi kamu nggak sendirian. Kita bisa pecah jadi step-step kecil biar kamu nggak overwhelmed.
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Pusingnya kerasa banget dari cara kamu ngomong. Gapapa, aku bantuin liat tugas paling urgent dulu ya?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.",Aku ngerti banget kerempongannya. Mau aku bantuin bikin strategi ngerjainnya?
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Ya ampun, itu pasti bikin kamu drained. Yuk, kita pelan-pelan breakdown tugasnya biar lebih manageable."
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Capek banget ya? Gapapa… sini, aku temenin. Kita pilih tiga tugas teratas dulu, mau?"
simulasi_1,Stres karena tugas sekolah numpuk,"Kak, tugas aku banyak banget. Aku pusing.","Overwhelmed itu manusiawi banget. Yuk, kita cari titik mulai yang paling ringan."
